char	亦	亦	OMXR	OMXR	MIX	120673	yi
char	产	产	OGE	OGEL	LR	6224491	chan
char	亨	亨	OCXX	OCXX	MIX	15360	heng
char	亨	亨	OHXX	OHXX	MIX	15360	heng
char	亩	亩	OK	OKLK	LR	74628	mu
char	享	享	OCXD	OCXD	MIX	451333	xiang
char	享	享	OHXD	OHXD	MIX	451333	xiang
char	京	京	OCU	OCUL	LR	1747542	jing
char	京	京	OHU	OHUL	LR	1747542	jing
char	亭	亭	OCTX	OCTX	MIX	61616	ting
char	亭	亭	OHTX	OHTX	MIX	61616	ting
char	亮	亮	OCTL	OCTL	LR	222106	liang
char	亮	亮	OHTL	OHTL	LR	222106	liang
char	亲	亲	OGD	OGDL	LR	326933	qin
char	亳	亳	OCTI	OCTI	LR	2866	bo
char	亳	亳	OHTI	OHTI	LR	2866	bo
char	亴	亴	OCTX	OCTX	MIX	8	you
char	亴	亴	OHTX	OHTX	MIX	8	you
char	亵	亵	OWNV	OWNV	LR	6274	xie
char	亶	亶	OKCA	OKCA	LR	13	dan
char	亶	亶	OKHA	OKHA	LR	13	dan
char	亷	亷	OECR	OECR	LR	7	lian
char	亷	亷	OEPR	OEPR	LR	7	lian
char	人	人	Q	QMQQ	MIX	10612828	ren
char	亻	亻	CQ	CQEQ	ENC	19	ren
char	亻	亻	PQ	PQLQ	LR	19	ren
char	亼	亼	QA	QALA	LR	3	ji
char	亾	亾	QV	QVLV	LR	26	wang
char	亿	亿	QX	QXMX	MIX	3292713	yi
char	什	什	QS	QSLS	LR	455821	shen
char	仁	仁	QAA	QAAL	LR	84555	ren
char	仂	仂	QQC	QQCL	LR	12	le
char	仂	仂	QQH	QQHL	LR	12	le
char	仂	仂	QQP	QQPL	LR	12	le
char	仃	仃	QAX	QAXM	MIX	635	ding
char	仄	仄	AQ	AQLQ	LR	613	ze
char	仅	仅	QY	QYLY	LR	935698	jin
char	仆	仆	QO	QOLO	LR	2170	pu
char	仇	仇	QQX	QQXM	MIX	12957	chou
char	仈	仈	QR	QRLR	LR	9	ba
char	仉	仉	QEX	QEXM	MIX	93	zhang
char	今	今	QNX	QNXM	MIX	2073274	jin
char	介	介	QLL	QLLL	LR	676789	jie
char	介	介	QMM	QMML	LR	676789	jie
char	仌	仌	CQQ	CQQE	ENC	5	bing
char	仌	仌	PQQ	PQQL	LR	5	bing
char	仍	仍	QXEC	QXEC	MIX	794729	reng
char	从	从	QQ	QQLQ	LR	2742738	cong
char	仐	仐	CCQS	CCQS	ENC	10	san
char	仐	仐	PPQS	PPQS	LR	10	san
char	仑	仑	CCQI	CCQI	ENC	18724	lun
char	仑	仑	PPQI	PPQI	LR	18724	lun
char	仒	仒	CQO	CQOE	ENC	10	bing
