A5F0	12528	ヰ
A5F1	12529	ヱ
A5F2	12530	ヲ
A5F3	12531	ン
A5F4	12532	ヴ
A5F5	12533	ヵ
A5F6	12534	ヶ
A6A1	913	Α
A6A2	914	Β
A6A3	915	Γ
A6A4	916	Δ
A6A5	917	Ε
A6A6	918	Ζ
A6A7	919	Η
A6A8	920	Θ
A6A9	921	Ι
A6AA	922	Κ
A6AB	923	Λ
A6AC	924	Μ
A6AD	925	Ν
A6AE	926	Ξ
A6AF	927	Ο
A6B0	928	Π
A6B1	929	Ρ
A6B2	931	Σ
A6B3	932	Τ
A6B4	933	Υ
A6B5	934	Φ
A6B6	935	Χ
A6B7	936	Ψ
A6B8	937	Ω
A6C1	945	α
A6C2	946	β
A6C3	947	γ
A6C4	948	δ
A6C5	949	ε
A6C6	950	ζ
A6C7	951	η
A6C8	952	θ
A6C9	953	ι
A6CA	954	κ
A6CB	955	λ
A6CC	956	μ
A6CD	957	ν
A6CE	958	ξ
A6CF	959	ο
A6D0	960	π
A6D1	961	ρ
A6D2	963	σ
A6D3	964	τ
A6D4	965	υ
A6D5	966	φ
A6D6	967	χ
A6D7	968	ψ
A6D8	969	ω
A7A1	1040	А
A7A2	1041	Б
A7A3	1042	В
A7A4	1043	Г
A7A5	1044	Д
A7A6	1045	Е
A7A7	1025	Ё
A7A8	1046	Ж
A7A9	1047	З
A7AA	1048	И
A7AB	1049	Й
A7AC	1050	К
A7AD	1051	Л
A7AE	1052	М
A7AF	1053	Н
A7B0	1054	О
A7B1	1055	П
A7B2	1056	Р
A7B3	1057	С
A7B4	1058	Т
A7B5	1059	У
A7B6	1060	Ф
A7B7	1061	Х
A7B8	1062	Ц
A7B9	1063	Ч
A7BA	1064	Ш
A7BB	1065	Щ
A7BC	1066	Ъ
A7BD	1067	Ы
A7BE	1068	Ь
A7BF	1069	Э
A7C0	1070	Ю
A7C1	1071	Я
A7D1	1072	а
A7D2	1073	б
A7D3	1074	в
A7D4	1075	г
A7D5	1076	д
A7D6	1077	е
A7D7	1105	ё
A7D8	1078	ж
A7D9	1079	з
A7DA	1080	и
A7DB	1081	й
A7DC	1082	к
A7DD	1083	л
A7DE	1084	м
A7DF	1085	н
A7E0	1086	о
A7E1	1087	п
A7E2	1088	р
A7E3	1089	с
A7E4	1090	т
A7E5	1091	у
A7E6	1092	ф
A7E7	1093	х
A7E8	1094	ц
A7E9	1095	ч
A7EA	1096	ш
A7EB	1097	щ
A7EC	1098	ъ
A7ED	1099	ы
